제목,내용,게시자,게시날짜
트리사냥 시작,-------------------------------------------------------------- 지짐이 명당자리에서 축구 보기 ㅎ 흥민짱 잘생겨쪄 골 넣었을 때 나랑 현민이 소리질러서 지짐이 갑분싸됨....ㅋㅋㅌㅋㅌㅌ 3대0으로 가볍게 승 ㅎ 현민아.... 일어나.....ㅋㅋㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋ 개웃긴점 내가...,❤︎ ＨＡＥＵＮ ❤︎,2일 전
"KFC (케이에프씨) 석촌역점에서 징거BLT박스, 징거더블다운박스 먹고 온 후기",+ㅅ+ ㅋ (잠시 후) 염소울음소리 + 갑분싸 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ [ 남친홍맨 & 권꽁치 ] 남은 치킨 포장하기 위해; 쇼핑백을 하나 달라고 요청함; 셀프 포장 완료 남은 치킨은 촬영 끝나고;; 제작진이 맛있게 먹었습니다 -ㅅ- ㅋㅋㅋㅋㅋ 간판 배경삼아 찍는...,권꽁치 꽁치그라피,2일 전
아덱스 자잘한 오프라인 TMI,"1. 갑분싸 https://blog.naver.com/seaseadam/223244772268 아덱스에서 2일차에 지인 몇 명(K1 승무원, 한 명은 K2까지) 만났는데, 전차 승무원이었으니까 대충 알 거라고 생각하고 해치 층 보인다고 얘기하니까 ‘해치 전시본거 좋긴 했는데 저 새끼가 당최 몬소리를...",서로 서로 자료로 담가요,2일 전
"추워지면 생각나는 신촌역 오뎅바, 혼술 가능한 <철길부산집> 프리미엄 이자카야","할아버지가 매일 매번 드시는 술병같이 느껴져서 귀여워서 찍어봤어요 갑분싸ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ 나만 아는 취권 할아버지인가 봐요 어묵 2인 17,000원 어묵 추가 3,000원 소고기 타다끼 20,000원 닭연골 튀김 13,000원 주류 닭 연골 튀김 어묵 2인 세트 치즈 어묵...",언제나RA블리 힐링일상,2일 전
방금 딥3 했다,2라 중간 보스?..에서 죽음 갑분싸,좀비 고등학교 모바일,2일 전
얼레벌레 일등,폰이랑 이어폰이랑 연결하면 노래가 나와 아줌마 멋지지 갑분싸 정읍 중간고사 일주일 남음 근데 감 가서 삼보갈비 머금 엄마아빠 테라피 해줘야해요 도넛도 N개 먹음 너무 많이 먹어서 몇 개 먹었는지 말을 못 함 또 김시금;;; 커플룩 ;; 저러고 수업이 없었겠지 ..? 암튼...,◟(∗❛ᴗ❛∗)◞,2일 전
베트남 2,했다가 갑분싸됨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 머쓱~ 콩카페!! 앉아서 천천~히 마셨으면 좋았을 뻔 했지만 사파에서는 시간이 없다 테이크아웃과 동시에 2:3 찢어져서 저녁과 과일을 사와야 함 코코넛 커피 먹는데 이거 완즈이 내 스타일임 걍 커피 프라푸치노에 코코넛...,대한민국은 됭갈 열풍,2일 전
고작 이주안에 이렇게 많은 이야기들을 담았습니다,맨 끝 초단위 두자리를 곱해서 작은 숫자가 메가커피 내기 잘못하면 5명 갑분싸 사태 발생할 수 있기때문에 두명을 내기 당첨으로 하기로 했습니다! 예) 5x0 = 0 무조건 당첨!! 결과는… 굳이 아픈 기억을 들추지 말기로 하죠 푸헵 잘먹었습니다 누가 째려보고 있는거 같은데.....,치료사의 자취일기,2일 전
"스크랩 나무위키 죄책감, 면죄부, 소비자심리학",역시 갑분싸인것 같습니다. (소비를 하고 싶을 때마다 저금을 하는 보상체계를 만드는 편이 더 나을 것 같습니다. ) · 이전글 : 죄책감 - https://blog.naver.com/PostSearchList.naver?blogId=ddowan&categoryNo=0&range=all&SearchText...,ddowan님의 블로그,2일 전
"한심하고, 받을 줄 만 아는 친구 손절할까요...?",뜬금포로 갑분싸 질문하는거 알죠?... 예를들어 적금 이자에 대해 얘기를 하고있는데 갑자기 본인이랑 눈 마주친 맞은편 남자한테 근데... 술취해서 갑분싸 얘기를 합니다.. 그 외에도 굳이 잘 사귀고 있는 커플에게 남자보고 이 여자애랑 머가 좋아서 사귀는지 (순수하게...,"레몬테라스 [인테리어,리폼,DIY,요리,결혼,육아]",2일 전
