제목,내용,게시자,게시날짜
"[육아일기] 2개월 :: d+67~80/ 낮잠과의전쟁,아기수영장개시,연속울음포행진(호르몬멈췃)","아앍 어쩔티비~~~ 역방쿠 싫어하는아기,, 최소한 맘카페에선 못본거같은데 ㅋㅎ.. 진리의애바애 쫄바쫄! 칭얼대서 거울놀이하러갓더니... 오랜만에 티비보기 경이로우소문 시즌1까진 항마력 지켜내면서 무시히 달렷는데 시즌2 1화에서 넠아웃 ㅋㅅㅋ 경석이네 놀러갓다가...",seize the day,1일 전
해기사 / 자의하선 ... 송환 ... 비용 ...,싸우세요 MZ답게 어쩔티비 시전하시면 되는데 니는 니일해 나는 내일하고 내월급만 받을게 하면되는데 안타깝네요 [ㄱ 김환용(Sea_Fog/씨포그)] [오후 9:58] 행님들 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 워 ~ 워 ~ [졸/항해/벌크] [오후 9:59] Itf검사 빡셉니다 배에서...,Sea_Fog(씨포그) 해기사,2일 전
형님 8월 블로그입니다.,8월 블로그 다 씀~ 약간 날로 먹었는데 뭐 응~ 어쩔티비~ 저쩔티비~♂️ 안물티비~ 안궁 티비~♀️ 뇌절티비~ 우짤래미~♂️ 저짤래미... 궁금한 사람?❌ 응 근데 어쩔티비죠? 약올리죠? 응〰️ 어쩔 저쩔 안물 안궁 와우〰〰️ 그거 정말 ™️ℹ️인걸요⁉️ 매우 흥미롭지...,LOVE STRUCK,2일 전
신사역 맥시칸 맛집 스내킹 타코 snacking taco,"귀여운 캐릭터들 ㅋㅋㅋㅋ 콧수염난 아저씨가 어쩔티비 하는 캐릭이 젤 내취향이다 ㅋㅋㅋㅌ 여하튼 재방문의사 100000% 편하게 혼밥도 가능하고, 여럿이서 단체로 먹기도 좋은 공간이라 신사역 논현동 부근 직장인들 점심 식사로도 강추!",Life of Rarara,2일 전
4= 4≠,사는 거 진짜 주옥같네 :) 2024년 목표 1. 적당히 2. 막 3. 되는대로 4. 아무렇게 5. 하고 싶은 대로 6. 날로 먹고 7. 우당탕탕 뭐 어쩌라고 응 니잘못~ 욕 먹는다고 인생 크게 달라지지 않는다. 어쩔티비!!!!,ㅤ,2일 전
2023-2,ㅋ 어쩔티비 아 빨리 우리반애들이랑 부산이랑 술 마시구 싶다.. 흐어어어 논술 언제 끝나 ..? 예솔민진태영 논술 끝나고 만나서 성수동 데이트 하이볼 존맛이였는데 오랜만에 술 먹으니깐 .. 목이 답답해서 이상하다고 하니깐 예솔이가 목도리를 풀라고 해서 풀었더니...,Agari ✨,2일 전
오랜만의 데이 출근을 앞두고..,퇴사면담 한 게 다 ~ 퍼져서 매우 민망하고 출근한다는게 현실감이 없게 느껴지지만 그래도 뭐 어쩔티비? 다니기로 했는데 그냥 나는 출근만 꼬박꼬박 잘하는걸로 ~~ 까라면 까고 기라면 기자~~ 얼레벌레 1년 버텨보자고 몰라 또 언제 마음이 뜰지 그래도 지금만큼 힘들진...,깨꿍이네,2일 전
수능끝난 재수생의 평일,어쩔티비.... 사람처럼 자는 둥 장판키고 따닷하게 잠들오따 11월 22일 아침에 푸욱 잘잤따 아침은 콩나물국밥 (우리집 콩나물국밥은 국밥과 죽의 어느사이...) 할미뽀글조끼 훔쳐입어따 ˎ₍•ʚ•₎ˏ 후드티가 두꺼워서 얇은패딩을 입자니 불편하고 두꺼운패딩을 입자니 넘...,둥둥이 일기장,2일 전
김루연 폼 쩔었던 썰 푼다,개어려운 문제 어려운 부분 다 풀고 마지막에 쉬운 거 못 해서 올백이 날아감;;존나 대가리 개박살잼 다 풀어놓고.....다 했는데..... 근데 어쩔티비 시험 끝남 지나간 일에는 매달리지 않기로 했어요 털털한 사람 될 거임,환생,2일 전
[본식스냅] ' 메리메리미 ' 계약후기,(예식 일주일도 안남음..어쩔티비!) 나도 써본다~ㅎ0ㅎ 내가 계약한 웨딩홀에서도 물론 스냅이 있다! 하지만 맘에 안드는 부분..★ 스냅사진이 얼마나 중요한데~ 생각하고 맘에 드는 곳을 서치하고 또 서치했다 나의 본식스냅업체 고른 기준! 1.따스한 피치톤일 것 - 화이트톤...,탱니로그,2일 전
