제목,내용,게시자,게시날짜
대환장 세족식/ 아이들의 시선(맑눈광),"*어느 후배의 이야기입니다. 7살 아이가 거실로 나와 아빠에게 물었다. ""매장, 화장이 뭐예요?"" 아빠가 답했다. ""매장은 땅에 묻는 거고, 화장은 불태우는 거야."" ""아. 그렇구나."" ""아빠 죽으면 어떻게 할 거야?"" ""불태워야죠"" ""왜?"" ""땅 파기 힘드니까요."" ""아!! 그럼 엄마도?"" ""네....",lmrworld님의블로그,2일 전
맑눈광...,카인 : 눈은 맑은데 전투광임 =맑눈광 #카인 #신비아파트,귀여운 넘...↗,2일 전
09. 사무실의 도른자들,"최근 SNS나 소셜미디어에서 ‘맑눈광’ ‘기존쎄’ ‘꼰대 상사’ 등 직장에서 이해하기 힘든 또는 이해하기조차 싫은 사람들, 소위 ‘사무실의 도른자들’을 풍자하는 콘텐츠가 대세다. 대부분의 직장인들이 그들에게 시달리기 때문이다. 실제로 국내 시장조사기관에서...",종이책을 좋아하는 1人,2일 전
미술을 어래하면 다 맑눈광이 되는걸까요,오늘 찐광기를 봐서 계속 생각남,좀비 고등학교 모바일,2일 전
잠실 롯데월드몰 쿵야 팝업스토어 평일 저녁 대기없이 방문후기 위치 운영기간,위치 : 서울 송파구 올림픽로 300 롯데워드몰 1층 ⏰️ 운영기간 : 11월 17일 ~ 26일 사실 쿵야는 맑눈광 캐릭터나 국가대표 양궁선수... 그럼 소원을 빌면서 동전을 분수에 던지시면 되요 :) 팝업스토어 가운데에는 쿵야 시리즈의 대표 주자 양파쿵야의 거대 인형이...,MJ의 방방곡곡,2일 전
콘서트를 빙자한 잠실 쏘다니기^^,"이 맑눈광을 어찌할꼬.... 롯데몰 오니까, qr줄서기가 있어서 qr찍으니까 바로 원격 줄서기가 됐다. 근데 처음에는 예상시간: 알수 없음(ㅇㄴㄹ)했지만, 거의 20분 만에 들어간듯? 그냥 주변 좀 돌아댕기고 밖에 트리 구경하고 사진찍으니까 순삭~ 되게 잘해뒀다고 생각이 들었고...",뭔소리여 그냥 아아줘,2일 전
[추천] 귀여운 게 최고야~! 쿵야 ~ 팝업~,맑눈광 왜케 귀여ㅠ 잠옷도 귀염귀염 근데 4~5만원 대 였던듯 ㅎ.ㅎ 넘 귀여어!!!!!!!!!!!!!!!!!!!!!!!! 이거 보고 피규어 바로~ 겟 일단 흔들어 재끼면 돼 나왔으면 좋겠네 ㅎ 두개 샀는데 하나는 나 하고 하나는 연말 파티때 가져가려고~ 내 선물 받는 사람 좋겠다 ~ 수염 버전도 너무...,Let's make a better version of myself each day.,2일 전
[11월4째주] You never called it what it was,"내 쪽은 보지도 않고 서류를 한 손으로 퍽 떠안기고 인사도 안받아줌 면접 자체도, 경력이 이게 다며 다른거 해본 건 없냐길래 맑눈광 표정으로 ㅎㅎ 업눈데용 함 너희...뭐...돼..? . . 쨋든 글케 면접 보고 언니랑 아빠랑 데이트함~ 현백 미아점이엇어요 여기가 왜이렇게 낯...",낙낙(knock knock),2일 전
미술학원 상담 다녀옴,"원장쌤이 좀 맑눈광이어서 무서웠어요 첫말 그림보고 여기 올 필요없는데 왜왔니.? 였는데 그때 너무 무서워서 에.??예.? 이러고 있었어요 다음말이 건강이 제일 중요하다였음 그래서 아토피 치료하는 민간요법,아토피의 역사 생활, 책을 많이 읽어서 스토리 쓰는 법을...",좀비 고등학교 모바일,2일 전
"[잠실역] 11,12월 롯데월드몰 팝업 스토어 (노티드X최고심, 쿵야 소원 상점, 디즈니 픽사 플러피)","싶은 맑눈광 테스크테리어 쿵야 신전 3만 원 이상 구매 시 양파 쿵야 풍선 5만 원 이상 구매 시 팝업 한정 포스터 10만 원 이상 구매 시 양파 쿵야 극세사 클리너를 증정해 주신다고 해요 이 모든- 것은 선착순, 한정 상품입니다 글라스 잔 구매 시에는 맥주 안주로도 좋은...",매일 준비중,2일 전
