제목,내용,게시자,게시날짜
데이터톤 전에 짧게,"스불재 아니 오늘 갑자기 팀이 결정되었는데, 우리 팀에 대단한 월클들이 많다. 학번만 높고 아는 건 없는 나 자신이 밉다. 아.... 원래는 그냥 나같은 talking potato들로만 구성되길 바랬는데. 그래서 대충 하하호호하다가 일단 완성만 시켜놓고 그냥 저희는 밤새지 말고...",blog,2일 전
과거와 구별되는 확연한 경계선으로,진짜 스불재) 어쨌든 해냈으니 칭찬해 도착해서 방 상태 확인하고 매트만 깔아두고 집 주인 기다림. 침대가 생각보다 많이 커서 방이 조금 좁아보였는데 생각보다 괜찮았더라구 수납이 거의 없는 방이라 앞으로 어떻게 꾸며야 할지 고민 되지만 나는 해내 우리 동네에...,.,2일 전
존나씨발개같음,다 스불재라 할말없긴함 스스로 재앙을 불러놓고 그 중간에 앉아 앙앙우는 아방수 된 기분임 아방수는 지를 챙겨주고 보듬어줄... 게 스불재고 난 고칠 의지가 없다는 것부터 ㄹㅈㄷ좆같음 솔직히 자연소멸하고 싶음 죽고 싶지는 않은데 왜냐하면 죽는 건 끝내주게 아프기...,insaaaannnneeee,2일 전
이게그 스불재인지뭔지 하는거임?,글자수 뭐임? 4편중에 1편인데? 아직 완성도 안됐는데? 님들 감당 가능?,프로젝트 세카이 컬러풀 스테이지! feat.하츠네 미쿠 공식카페,2일 전
일자목 여인의 두통약도 안 듣는 편두통 일대기 ...,~ 스불재 엔딩 ~ 23일 목요일 (오늘) 오늘은 제발 오늘은 제발 오늘은 제발 오늘은 제발 오늘은 제발 오늘은 제발 오늘은 제발 오늘은 제발 오늘은 제발 오늘은 제발 오늘은 제발 오늘은 제발 오늘은 제발 오늘은 제발 오늘은 제발 오늘은 제발 오늘은 제발 오늘은 제발 오늘은...,내가 그동안 챙겨온 생일들,2일 전
반사테이프로 반사슬로건 만들기(자급자족 덕질 인생),너무 정 없어 보인다는 우리집 첫째 더비의 의견을 수용하여 하트를 추가해보았습니다 만들고 보니까 진짜 겁나 뿌듯함 오른쪽 하트 간격이 약간 거슬리긴 하지만 이미 되돌릴 순 없곸ㅋㅋㅋㅋㅋㅋ 계속 봐도 너무 잘 만들었음 기특하다 내 자신 다행히 는 일어나지...,다람쥐 쳇바퀴 떼굴떼굴,3일 전
2023.11.23,정말 맛있고 행복한 하루였네요 그치만 기숙사에 돌아오니 할 일이 산더미.. 지금도 스불재를 열심히 이겨내고 있답니다! 내일이면 벌써 금요일이네요~~ 모두 남은 오늘 잘 마무리 하시고 내일 즐거운 금요일 되세요~~^^b #그림 #크로키 #그림그리기 #그림작업 #미술 #일상,어린님의 블로그,3일 전
✨익명하트✨❤,"저도 익명하트라는 걸 해보려고 합니다 ㅎ 초면도 괜찮지만 게시물이 하나도 없을 경우 패스합니다~!! 생각나는 대로, 쓰고 싶은 대로 쓸거고 100% 랜덤으로 작성합니당 틈틈이 계속 써보겠습니다ヾ(◍’౪`◍)ﾉﾞ♡ 미방은 오늘 온 길티 챌린지 커미로❤️",커미션나라 ★ 글.그림.만화.애니.캐릭터.로고.디자인 외주제작,3일 전
"뜨거운 새, 관념, 관념에 다가가는 자세",저는 지금 글로벌 대구 입 니 다 대구에서 미리 본 스타벅스의 크리스마스 대구야 이번 년도가 가기 전에 또 보자 ㅃㅃ 이나연 특 일 졸라 벌임 스불재 미쳤심 그렇다고 대선을 나가는 건 아닙니다 뭐이리많이먹었노(도윤) 같이 일 벌여 주는 도윤니가 있어 행복해...,순간의 낭만이 행복이란 걸,3일 전
안입는옷 다시 만들기 | 실 재활용하기 | 루 가디건 lou cardigan | knits.pourmoi (01),"옷 정리하면서 버리려다가 그냥 이 실 색감도 맘에 들고 나름 혼용률도 괜찮은데 그냥 다 풀어버리고 내가 뜨면 되지 않나 싶어서 시작하게 된 나의 스불재 프로젝트,,, (아무도 시도하지 마세요..) 옷 길이까지 다 재어주고 나서 실을 풀기 시작했다. 막상 잴때는 버리는실...",AURORE,3일 전
