제목,내용,게시자,게시날짜
기억해 이 순간의 우리를,개 폭룡적이게 하는 이태용 이마크 정재현 돌아버리겠어요 멋있어서 죽겠다 .. Je ne sais quoi 아 여기서 난 정재현에게 평생을 다짐했다 … 재현이가 갑자기 벤치에 누워가지고 저음으로 랩하면서 쟤네사궈 하는데 진짜 미쳐가지고 소리도 못 지른 나예요 끝나고 vcr 타임 때...,LONG TAKE,1일 전
누나는 술이 쓰세여?,한교동 쿠리만쥬 다 품절이라 네이버 스마트 쇼핑 들락날락만 오백번하고 샀습니다 (지금은 다시 파는곳 많아진듯함) 피규어가ㅠ생각보다 저렴하더라고요 팝마트에선 폭룡적인 가격이었는데.....(당연함. 이게 훨씬 작음.) 뒤에 앙증맞게 한교동 콕 찍혀있는게 너무...,보물상자,1일 전
후회없이 127을 사랑하자 / NCT 127 NEO CITY : SEOUL - THE UNITY 2주차 첫콘 후기,글고 해찬 음색은 언제 들어도 개사기 독보적폭룡적… 해찬 음색 얘기 한김에 제가 젤 좋아하는 해찬이 음색이 도드라지는 영상 공유합니당 https://youtu.be/xOlJnCE63Ik?si=4JGsP2AK6gCoW-7C 아 그리고 오늘 진짜 느낀건데 정우 파트 좀 늘었으면 윤슬 할 때 특히 느꼈는데 정우 음색이...,shape of the future,1일 전
뭘 하기에는 날씨가 너무 춥다,맥주 안주로 쇽샥뚝딱인 폭룡적인 맛…… 아무리 책 읽을 시간이 없대도 김소연 시인 신간은 못 참지 %% ㅋㅋ 쥬니와 문화생활에 풍덩 빠진 날 숨 참고 러브 다이브 몰라요 쟤가 먼저 나 꼬심 책임져 콘서트 끝나고 차 태워 준 사람에게 저녁 대접하기 고맙릅니다 자주 픽업해...,inthezz,1일 전
건강한 정신 가지기,이태용 이 남자 개 서윗 하다 와 에스파 너무 폭룡적이라 진짜 사랑하게될거같음 드라마 심지어 쇠맛나는 비트 사랑함 언니들 이런식이면 입덕밖에 못해요 이제 드코로 입을 옷을 찾을때가 왔다.. 크리스마스 바이브 감도 안잡힌다 콘서트 즐길(?)준비 진짜 준비 작살나게...,함께 있는 이곳이 천국인 걸,1일 전
[그로스쿨 마케팅러너 7기] Day4_마케팅전략 조별 발표,"이유를 생각해봐야겠다 느꼈습니다 이유없는 행동은 없다! 발표 당일에도 끝까지 수정,추가,미팅을 이어갔던 마지막까지 열심 걸스! 폭룡적인 광고 성과를 만들어보자!! 아자아자 홧팅이닷! 햄쁘의 마케터 도전 일기가 궁금하다면? 이웃추가하고 내 도도도독 동료가 돼라♡",리뷰햄,1일 전
November,폭룡적인 폭립 새벽 노래방 터덜터덜 소주하나씩들고 돌아오는... 파티룸에서의 킬링캠프(?) 이런 경험 흔치않아 사진 갈겨!! 저 다리 하나 올린거 머꼬.. 그치만 진짜 재밌었어!!!! 먹고 게임하고 노래부르고 눕고 게임하고 떠들고 다시 먹고 게임하고 먹고 눕고 먹고...,:),1일 전
"안녕 나 꿔보인데, 나 아직 처잔다. 도와줘!",아무튼 웃겼습니다 카공..인데 이날은 웬일로 스벅을 안 갔네요 그나저나 저 폭룡적인 생크림양을 보십시오.. 그리고 2년 전 오늘 발견 정병 Max 시절이었는데.. 저는 요즘 정말 놀랍게도 우울하지도 불행하지도 않아요 가끔 인간에게 짜증이 날지언정.. 하루하루가 바쁜데...,ʀᴇᴄᴏʀᴅɪɴɢ ᴅɪᴀʀʏ,1일 전
10-11,대단하다 헝그리소이가 대전 여행 때 찍은 사진 고양이가 매우 폭룡적 ㅇ귀여움 요시노부 14k ㅋ ㅏ미사마 이번 시즌 마지막 등판.... 당신 없이 어케. 살아가. 끄ㅡ으ㅡ응 하... 이 멍청아 준비는 다 됐어요 난 내 생일이라고 원앤온리스페셜 초콜릿을 만들어온 장지렁 벌써 내...,liilliiiiill,2일 전
바다가 숨 쉬는 그곳에 데려다 줄래,기념으로 전자칠판으로언상이얼굴보기 미.친 폭룡적 미모｡｡ 감미롭고경이롭고최고 왓챠 오리지널 - 언데드 걸 머더 파르스 요즘 레전드 오타쿠 인생 살아서 애니도 다시 봅니다 사실 구라임 계속 봐 왓음 이거 캐디가 너무 예버요 추리물치고 개연성이 살짝 음? 하는...,0=213,2일 전
