연/월,"""2번남""_빈도수",연/월,"""G.O.A.T""_빈도수",연/월,"""h워얼v""_빈도수",연/월,"""가심비""_빈도수",연/월,"""갸루피스""_빈도수",연/월,"""관짝밈""_빈도수",연/월,"""국룰""_빈도수",연/월,"""국힙원탑""_빈도수",연/월,"""귀요미""_빈도수",연/월,"""기모띠""_빈도수",연/월,"""꿀잼""_빈도수",연/월,"""나비보벳따우""_빈도수",연/월,"""나심비""_빈도수",연/월,"""낮져밤이""_빈도수",연/월,"""너또다""_빈도수",연/월,"""당모치""_빈도수",연/월,"""대환장파티""_빈도수",연/월,"""덕밍아웃""_빈도수",연/월,"""등골 브레이커""_빈도수",연/월,"""떼껄룩""_빈도수",연/월,"""똥꼬충""_빈도수",연/월,"""라떼는 말이야""_빈도수",연/월,"""레알""_빈도수",연/월,"""맘충""_빈도수",연/월,"""머선129""_빈도수",연/월,"""명존쎄""_빈도수",연/월,"""모히또에서 몰디브""_빈도수",연/월,"""몰?루""_빈도수",연/월,"""무야호""_빈도수",연/월,"""박박나나짜짜""_빈도수",연/월,"""복세편살""_빈도수",연/월,"""설참""_빈도수",연/월,"""쉽살재빙""_빈도수",연/월,"""실화냐""_빈도수",연/월,"""씹선비""_빈도수",연/월,"""오저치고""_빈도수",연/월,"""오팬무""_빈도수",연/월,"""제당슈만""_빈도수",연/월,"""존버""_빈도수",연/월,"""취존""_빈도수",연/월,"""킹받""_빈도수",연/월,"""탈룰라""_빈도수",연/월,"""투머치토커""_빈도수",연/월,"""티엠아이""_빈도수",연/월,"""하입보이요""_빈도수",연/월,"""합격목걸이""_빈도수",연/월,"""햄최몇""_빈도수",연/월,"""행복회로""_빈도수",연/월,"""행쇼""_빈도수",연/월,"""헬창""_빈도수"
,,Jun-08,104,,,Apr-21,150,,,,,Oct-16,8,Sep-22,141,Nov-11,150,Oct-17,150,Mar-15,150,,,Sep-22,23,Mar-17,84,,,,,Dec-20,150,Jan-17,150,Dec-15,150,Mar-19,128,May-20,114,Jan-23,150,May-07,150,Jul-19,150,,,Jul-18,39,Jul-20,87,,,Sep-23,150,,,Dec-18,89,Aug-20,38,,,May-17,150,Apr-16,76,Nov-23,30,Jan-23,61,,,Jun-15,98,Jan-15,30,,,Aug-16,37,Feb-21,150,Nov-21,150,,,Dec-21,134,Aug-19,62,May-20,150,Aug-11,18,Apr-19,61
,,Jul-08,118,,,May-21,150,,,,,Nov-16,8,Oct-22,140,Dec-11,150,Nov-17,150,Apr-15,150,,,Oct-22,22,Apr-17,107,,,,,Jan-21,150,Feb-17,150,Jan-16,143,Apr-19,140,Jun-20,50,Feb-23,150,Jun-07,150,Aug-19,150,,,Aug-18,37,Aug-20,75,,,Oct-23,150,,,Jan-19,122,Sep-20,50,,,Jun-17,150,May-16,85,,,Feb-23,52,,,Jul-15,105,Feb-15,30,,,Sep-16,41,Mar-21,150,Dec-21,150,,,Jan-22,139,Sep-19,76,Jun-20,150,Sep-11,12,May-19,92
,,Aug-08,128,,,Jun-21,150,,,,,Dec-16,13,Nov-22,121,Jan-12,150,Dec-17,150,May-15,150,,,Nov-22,27,May-17,87,,,,,Feb-21,150,Mar-17,150,Feb-16,128,May-19,150,Jul-20,41,Mar-23,150,Jul-07,150,Sep-19,150,,,Sep-18,36,Sep-20,65,,,Nov-23,150,,,Feb-19,114,Oct-20,37,,,Jul-17,150,Jun-16,76,,,Mar-23,56,,,Aug-15,117,Mar-15,30,,,Oct-16,20,Apr-21,150,Jan-22,150,,,Feb-22,129,Oct-19,58,Jul-20,150,Oct-11,36,Jun-19,106
,,Sep-08,127,,,Jul-21,150,,,,,Jan-17,7,Dec-22,150,Feb-12,150,Jan-18,150,Jun-15,150,,,Dec-22,21,Jun-17,69,,,,,Mar-21,150,Apr-17,150,Mar-16,128,Jun-19,150,Aug-20,38,Apr-23,150,Aug-07,150,Oct-19,150,,,Oct-18,56,Oct-20,37,,,,,,,Mar-19,112,Nov-20,54,,,Aug-17,150,Jul-16,81,,,Apr-23,67,,,Sep-15,104,Apr-15,30,,,Nov-16,17,May-21,138,Feb-22,150,,,Mar-22,139,Nov-19,74,Aug-20,150,Nov-11,10,Jul-19,150
,,Oct-08,146,,,Aug-21,150,,,,,Feb-17,16,Jan-23,136,Mar-12,150,Feb-18,150,Jul-15,150,,,Jan-23,25,Jul-17,51,,,,,Apr-21,150,May-17,138,Apr-16,146,Jul-19,150,Sep-20,19,May-23,150,Sep-07,150,Nov-19,150,,,Nov-18,36,Nov-20,50,,,,,,,Apr-19,103,Dec-20,47,,,Sep-17,150,Aug-16,85,,,May-23,55,,,Oct-15,121,May-15,30,,,Dec-16,22,Jun-21,147,Mar-22,150,,,Apr-22,139,Dec-19,63,Sep-20,150,Dec-11,13,Aug-19,150
,,Nov-08,111,,,Sep-21,150,,,,,Mar-17,13,Feb-23,96,Apr-12,150,Mar-18,150,Aug-15,150,,,Feb-23,105,Aug-17,70,,,,,May-21,150,Jun-17,150,May-16,111,Aug-19,150,Oct-20,30,Jun-23,150,Oct-07,150,Dec-19,150,,,Dec-18,33,Dec-20,36,,,,,,,May-19,115,Jan-21,50,,,Oct-17,142,Sep-16,68,,,Jun-23,61,,,Nov-15,122,Jun-15,30,,,Jan-17,20,Jul-21,150,Apr-22,150,,,May-22,140,Jan-20,92,Oct-20,150,Jan-12,28,Sep-19,150
,,Dec-08,150,,,Oct-21,150,,,,,Apr-17,10,Mar-23,81,May-12,150,Apr-18,150,Sep-15,150,,,Mar-23,62,Sep-17,81,,,,,Jun-21,150,Jul-17,142,Jun-16,107,Sep-19,150,Nov-20,29,Jul-23,150,Nov-07,150,Jan-20,150,,,Jan-19,49,Jan-21,52,,,,,,,Jun-19,116,Feb-21,40,,,Nov-17,150,Oct-16,57,,,Jul-23,59,,,Dec-15,142,Jul-15,30,,,Feb-17,16,Aug-21,150,May-22,150,,,Jun-22,132,Feb-20,68,Nov-20,150,Feb-12,32,Oct-19,150
,,Jan-09,130,,,Nov-21,150,,,,,May-17,15,Apr-23,89,Jun-12,150,May-18,150,Oct-15,150,,,Apr-23,23,Oct-17,89,,,,,Jul-21,150,Aug-17,142,Jul-16,102,Oct-19,150,Dec-20,32,Aug-23,150,Dec-07,150,Feb-20,150,,,Feb-19,29,Feb-21,48,,,,,,,Jul-19,110,Mar-21,27,,,Dec-17,150,Nov-16,77,,,Aug-23,71,,,Jan-16,146,Aug-15,30,,,Mar-17,25,Sep-21,143,Jun-22,150,,,Jul-22,143,Mar-20,101,Dec-20,150,Mar-12,27,Nov-19,150
,,Feb-09,136,,,Dec-21,150,,,,,Jun-17,10,May-23,83,Jul-12,150,Jun-18,150,Nov-15,150,,,May-23,16,Nov-17,61,,,,,Aug-21,150,Sep-17,150,Aug-16,106,Nov-19,150,Jan-21,18,Sep-23,150,Jan-08,150,Mar-20,150,,,Mar-19,39,Mar-21,59,,,,,,,Aug-19,98,Apr-21,26,,,Jan-18,150,Dec-16,63,,,Sep-23,58,,,Feb-16,99,Sep-15,30,,,Apr-17,18,Oct-21,141,Jul-22,150,,,Aug-22,142,Apr-20,108,Jan-21,150,Apr-12,46,Dec-19,150
,,Mar-09,143,,,Jan-22,150,,,,,Jul-17,11,Jun-23,89,Aug-12,150,Jul-18,150,Dec-15,150,,,Jun-23,19,Dec-17,69,,,,,Sep-21,150,Oct-17,136,Sep-16,132,Dec-19,150,Feb-21,20,Oct-23,150,Feb-08,150,Apr-20,150,,,Apr-19,27,Apr-21,55,,,,,,,Sep-19,109,May-21,46,,,Feb-18,120,Jan-17,72,,,Oct-23,61,,,Mar-16,114,Oct-15,30,,,May-17,18,Nov-21,150,Aug-22,150,,,Sep-22,138,May-20,93,Feb-21,150,May-12,49,Jan-20,150
,,Apr-09,145,,,Feb-22,150,,,,,Aug-17,21,Jul-23,145,Sep-12,150,Aug-18,150,Jan-16,150,,,Jul-23,27,Jan-18,88,,,,,Oct-21,150,Nov-17,129,Oct-16,122,Jan-20,150,Mar-21,20,Nov-23,150,Mar-08,150,May-20,150,,,May-19,26,May-21,65,,,,,,,Oct-19,109,Jun-21,27,,,Mar-18,90,Feb-17,71,,,Nov-23,27,,,Apr-16,150,Nov-15,30,,,Jun-17,36,Dec-21,150,Sep-22,150,,,Oct-22,143,Jun-20,95,Mar-21,150,Jun-12,74,Feb-20,150
,,May-09,117,,,Mar-22,150,,,,,Sep-17,17,Aug-23,114,Oct-12,150,Sep-18,150,Feb-16,150,,,Aug-23,38,Feb-18,81,,,,,Nov-21,150,Dec-17,146,Nov-16,128,Feb-20,150,Apr-21,20,,,Apr-08,150,Jun-20,150,,,Jun-19,31,Jun-21,73,,,,,,,Nov-19,97,Jul-21,19,,,Apr-18,150,Mar-17,81,,,,,,,May-16,150,Dec-15,30,,,Jul-17,26,Jan-22,144,Oct-22,150,,,Nov-22,150,Jul-20,113,Apr-21,150,Jul-12,76,Mar-20,150
,,Jun-09,109,,,Apr-22,150,,,,,Oct-17,16,Sep-23,122,Nov-12,150,Oct-18,150,Mar-16,150,,,Sep-23,11,Mar-18,62,,,,,Dec-21,150,Jan-18,139,Dec-16,132,Mar-20,150,May-21,23,,,May-08,150,Jul-20,150,,,Jul-19,47,Jul-21,80,,,,,,,Dec-19,89,Aug-21,48,,,May-18,150,Apr-17,78,,,,,,,Jun-16,150,Jan-16,30,,,Aug-17,22,Feb-22,146,Nov-22,150,,,Dec-22,150,Aug-20,95,May-21,150,Aug-12,111,Apr-20,150
,,Jul-09,148,,,May-22,150,,,,,Nov-17,4,Oct-23,130,Dec-12,150,Nov-18,150,Apr-16,150,,,Oct-23,28,Apr-18,61,,,,,Jan-22,150,Feb-18,126,Jan-17,122,Apr-20,150,Jun-21,29,,,Jun-08,150,Aug-20,150,,,Aug-19,42,Aug-21,82,,,,,,,Jan-20,85,Sep-21,41,,,Jun-18,150,May-17,75,,,,,,,Jul-16,150,Feb-16,30,,,Sep-17,34,Mar-22,150,Dec-22,150,,,Jan-23,138,Sep-20,117,Jun-21,150,Sep-12,150,May-20,150
,,Aug-09,127,,,Jun-22,150,,,,,Dec-17,11,Nov-23,85,Jan-13,150,Dec-18,150,May-16,150,,,Nov-23,34,May-18,56,,,,,Feb-22,150,Mar-18,135,Feb-17,146,May-20,150,Jul-21,32,,,Jul-08,150,Sep-20,150,,,Sep-19,36,Sep-21,65,,,,,,,Feb-20,86,Oct-21,34,,,Jul-18,150,Jun-17,83,,,,,,,Aug-16,150,Mar-16,30,,,Oct-17,36,Apr-22,147,Jan-23,150,,,Feb-23,145,Oct-20,76,Jul-21,150,Oct-12,150,Jun-20,150
,,Sep-09,123,,,Jul-22,150,,,,,Jan-18,16,,,Feb-13,150,Jan-19,150,Jun-16,150,,,,,Jun-18,44,,,,,Mar-22,150,Apr-18,139,Mar-17,127,Jun-20,150,Aug-21,31,,,Aug-08,150,Oct-20,150,,,Oct-19,30,Oct-21,89,,,,,,,Mar-20,102,Nov-21,31,,,Aug-18,150,Jul-17,85,,,,,,,Sep-16,150,Apr-16,30,,,Nov-17,28,May-22,150,Feb-23,150,,,Mar-23,150,Nov-20,91,Aug-21,150,Nov-12,150,Jul-20,150
,,Oct-09,129,,,Aug-22,150,,,,,Feb-18,12,,,Mar-13,150,Feb-19,150,Jul-16,150,,,,,Jul-18,57,,,,,Apr-22,150,May-18,150,Apr-17,111,Jul-20,150,Sep-21,24,,,Sep-08,150,Nov-20,150,,,Nov-19,31,Nov-21,73,,,,,,,Apr-20,113,Dec-21,25,,,Sep-18,150,Aug-17,81,,,,,,,Oct-16,150,May-16,30,,,Dec-17,45,Jun-22,150,Mar-23,150,,,Apr-23,148,Dec-20,111,Sep-21,150,Dec-12,150,Aug-20,150
,,Nov-09,124,,,Sep-22,150,,,,,Mar-18,17,,,Apr-13,150,Mar-19,150,Aug-16,150,,,,,Aug-18,55,,,,,May-22,150,Jun-18,114,May-17,148,Aug-20,150,Oct-21,23,,,Oct-08,150,Dec-20,150,,,Dec-19,37,Dec-21,67,,,,,,,May-20,135,Jan-22,41,,,Oct-18,150,Sep-17,71,,,,,,,Nov-16,150,Jun-16,30,,,Jan-18,105,Jul-22,150,Apr-23,150,,,May-23,136,Jan-21,128,Oct-21,150,Jan-13,150,Sep-20,150
,,Dec-09,150,,,Oct-22,150,,,,,Apr-18,7,,,May-13,150,Apr-19,150,Sep-16,150,,,,,Sep-18,63,,,,,Jun-22,150,Jul-18,122,Jun-17,113,Sep-20,150,Nov-21,30,,,Nov-08,150,Jan-21,150,,,Jan-20,42,Jan-22,63,,,,,,,Jun-20,150,Feb-22,25,,,Nov-18,150,Oct-17,73,,,,,,,Dec-16,150,Jul-16,30,,,Feb-18,111,Aug-22,150,May-23,150,,,Jun-23,138,Feb-21,123,Nov-21,150,Feb-13,150,Oct-20,150
,,Jan-10,150,,,Nov-22,150,,,,,May-18,16,,,Jun-13,150,May-19,150,Oct-16,150,,,,,Oct-18,43,,,,,Jul-22,150,Aug-18,115,Jul-17,102,Oct-20,150,Dec-21,42,,,Dec-08,150,Feb-21,150,,,Feb-20,31,Feb-22,59,,,,,,,Jul-20,129,Mar-22,33,,,Dec-18,150,Nov-17,64,,,,,,,Jan-17,150,Aug-16,30,,,Mar-18,111,Sep-22,149,Jun-23,150,,,Jul-23,135,Mar-21,114,Dec-21,150,Mar-13,150,Nov-20,150
,,Feb-10,150,,,Dec-22,150,,,,,Jun-18,17,,,Jul-13,150,Jun-19,150,Nov-16,150,,,,,Nov-18,57,,,,,Aug-22,150,Sep-18,140,Aug-17,93,Nov-20,150,Jan-22,18,,,Jan-09,150,Mar-21,150,,,Mar-20,49,Mar-22,86,,,,,,,Aug-20,124,Apr-22,21,,,Jan-19,150,Dec-17,72,,,,,,,Feb-17,150,Sep-16,30,,,Apr-18,147,Oct-22,150,Jul-23,150,,,Aug-23,142,Apr-21,95,Jan-22,150,Apr-13,150,Dec-20,150
,,Mar-10,143,,,Jan-23,150,,,,,Jul-18,22,,,Aug-13,150,Jul-19,150,Dec-16,150,,,,,Dec-18,45,,,,,Sep-22,150,Oct-18,150,Sep-17,103,Dec-20,150,Feb-22,11,,,Feb-09,150,Apr-21,150,,,Apr-20,55,Apr-22,100,,,,,,,Sep-20,138,May-22,24,,,Feb-19,150,Jan-18,71,,,,,,,Mar-17,150,Oct-16,60,,,May-18,150,Nov-22,150,Aug-23,150,,,Sep-23,150,May-21,133,Feb-22,150,May-13,150,Jan-21,150
,,Apr-10,147,,,Feb-23,150,,,,,Aug-18,22,,,Sep-13,150,Aug-19,148,Jan-17,150,,,,,Jan-19,55,,,,,Oct-22,150,Nov-18,147,Oct-17,118,Jan-21,150,Mar-22,21,,,Mar-09,150,May-21,150,,,May-20,45,May-22,121,,,,,,,Oct-20,144,Jun-22,22,,,Mar-19,150,Feb-18,73,,,,,,,Apr-17,150,Nov-16,150,,,Jun-18,150,Dec-22,144,Sep-23,150,,,Oct-23,139,Jun-21,92,Mar-22,150,Jun-13,150,Feb-21,150
,,May-10,150,,,Mar-23,150,,,,,Sep-18,32,,,Oct-13,150,Sep-19,132,Feb-17,150,,,,,Feb-19,58,,,,,Nov-22,150,Dec-18,124,Nov-17,150,Feb-21,150,Apr-22,21,,,Apr-09,150,Jun-21,150,,,Jun-20,50,Jun-22,126,,,,,,,Nov-20,138,Jul-22,14,,,Apr-19,150,Mar-18,86,,,,,,,May-17,150,Dec-16,150,,,Jul-18,150,Jan-23,140,Oct-23,150,,,Nov-23,130,Jul-21,107,Apr-22,150,Jul-13,150,Mar-21,150
,,Jun-10,150,,,Apr-23,150,,,,,Oct-18,31,,,Nov-13,150,Oct-19,135,Mar-17,150,,,,,Mar-19,51,,,,,Dec-22,150,Jan-19,126,Dec-17,150,Mar-21,150,May-22,31,,,May-09,150,Jul-21,150,,,Jul-20,48,Jul-22,131,,,,,,,Dec-20,131,Aug-22,27,,,May-19,150,Apr-18,65,,,,,,,Jun-17,150,Jan-17,150,,,Aug-18,148,Feb-23,150,Nov-23,150,,,,,Aug-21,114,May-22,150,Aug-13,150,Apr-21,150
,,Jul-10,129,,,May-23,150,,,,,Nov-18,54,,,Dec-13,150,Nov-19,127,Apr-17,150,,,,,Apr-19,43,,,,,Jan-23,150,Feb-19,125,Jan-18,148,Apr-21,150,Jun-22,44,,,Jun-09,150,Aug-21,150,,,Aug-20,80,Aug-22,137,,,,,,,Jan-21,150,Sep-22,22,,,Jun-19,150,May-18,82,,,,,,,Jul-17,150,Feb-17,150,,,Sep-18,119,Mar-23,150,,,,,,,Sep-21,104,Jun-22,150,Sep-13,150,May-21,150
,,Aug-10,150,,,Jun-23,150,,,,,Dec-18,50,,,Jan-14,150,Dec-19,118,May-17,150,,,,,May-19,46,,,,,Feb-23,150,Mar-19,117,Feb-18,119,May-21,150,Jul-22,40,,,Jul-09,150,Sep-21,150,,,Sep-20,40,Sep-22,99,,,,,,,Feb-21,143,Oct-22,31,,,Jul-19,150,Jun-18,81,,,,,,,Aug-17,150,Mar-17,150,,,Oct-18,130,Apr-23,150,,,,,,,Oct-21,115,Jul-22,150,Oct-13,150,Jun-21,150
,,Sep-10,140,,,Jul-23,150,,,,,Jan-19,63,,,Feb-14,150,Jan-20,126,Jun-17,150,,,,,Jun-19,45,,,,,Mar-23,150,Apr-19,140,Mar-18,133,Jun-21,150,Aug-22,25,,,Aug-09,150,Oct-21,150,,,Oct-20,36,Oct-22,101,,,,,,,Mar-21,141,Nov-22,36,,,Aug-19,150,Jul-18,79,,,,,,,Sep-17,150,Apr-17,150,,,Nov-18,122,May-23,150,,,,,,,Nov-21,102,Aug-22,150,Nov-13,150,Jul-21,150
,,Oct-10,128,,,Aug-23,150,,,,,Feb-19,85,,,Mar-14,150,Feb-20,140,Jul-17,150,,,,,Jul-19,58,,,,,Apr-23,150,May-19,121,Apr-18,106,Jul-21,150,Sep-22,13,,,Sep-09,150,Nov-21,150,,,Nov-20,47,Nov-22,95,,,,,,,Apr-21,138,Dec-22,33,,,Sep-19,150,Aug-18,87,,,,,,,Oct-17,150,May-17,150,,,Dec-18,129,Jun-23,150,,,,,,,Dec-21,117,Sep-22,150,Dec-13,150,Aug-21,150
,,Nov-10,150,,,Sep-23,150,,,,,Mar-19,113,,,Apr-14,150,Mar-20,107,Aug-17,150,,,,,Aug-19,61,,,,,May-23,150,Jun-19,119,May-18,121,Aug-21,150,Oct-22,29,,,Oct-09,150,Dec-21,150,,,Dec-20,42,Dec-22,98,,,,,,,May-21,150,Jan-23,47,,,Oct-19,150,Sep-18,81,,,,,,,Nov-17,150,Jun-17,150,,,Jan-19,106,Jul-23,149,,,,,,,Jan-22,120,Oct-22,150,Jan-14,150,Sep-21,150
,,Dec-10,150,,,Oct-23,150,,,,,Apr-19,107,,,May-14,150,Apr-20,117,Sep-17,150,,,,,Sep-19,35,,,,,Jun-23,150,Jul-19,131,Jun-18,107,Sep-21,150,Nov-22,20,,,Nov-09,150,Jan-22,150,,,Jan-21,42,Jan-23,101,,,,,,,Jun-21,131,Feb-23,49,,,Nov-19,150,Oct-18,97,,,,,,,Dec-17,150,Jul-17,150,,,Feb-19,138,Aug-23,150,,,,,,,Feb-22,115,Nov-22,150,Feb-14,150,Oct-21,150
,,Jan-11,150,,,Nov-23,150,,,,,May-19,106,,,Jun-14,150,May-20,122,Oct-17,150,,,,,Oct-19,49,,,,,Jul-23,150,Aug-19,105,Jul-18,122,Oct-21,150,Dec-22,23,,,Dec-09,150,Feb-22,150,,,Feb-21,35,Feb-23,91,,,,,,,Jul-21,150,Mar-23,36,,,Dec-19,150,Nov-18,76,,,,,,,Jan-18,150,Aug-17,150,,,Mar-19,112,Sep-23,150,,,,,,,Mar-22,129,Dec-22,150,Mar-14,150,Nov-21,150
,,Feb-11,150,,,,,,,,,Jun-19,150,,,Jul-14,150,Jun-20,117,Nov-17,150,,,,,Nov-19,60,,,,,Aug-23,150,Sep-19,93,Aug-18,131,Nov-21,150,Jan-23,22,,,Jan-10,150,Mar-22,150,,,Mar-21,41,Mar-23,116,,,,,,,Aug-21,138,Apr-23,21,,,Jan-20,150,Dec-18,84,,,,,,,Feb-18,150,Sep-17,150,,,Apr-19,109,Oct-23,150,,,,,,,Apr-22,117,Jan-23,150,Apr-14,150,Dec-21,150
,,Mar-11,150,,,,,,,,,Jul-19,150,,,Aug-14,150,Jul-20,126,Dec-17,150,,,,,Dec-19,40,,,,,Sep-23,150,Oct-19,90,Sep-18,121,Dec-21,150,Feb-23,29,,,Feb-10,150,Apr-22,150,,,Apr-21,44,Apr-23,99,,,,,,,Sep-21,150,May-23,44,,,Feb-20,150,Jan-19,83,,,,,,,Mar-18,150,Oct-17,150,,,May-19,132,Nov-23,150,,,,,,,May-22,125,Feb-23,150,May-14,150,Jan-22,150
,,Apr-11,150,,,,,,,,,Aug-19,150,,,Sep-14,150,Aug-20,110,Jan-18,150,,,,,Jan-20,38,,,,,Oct-23,150,Nov-19,85,Oct-18,126,Jan-22,150,Mar-23,25,,,Mar-10,150,May-22,150,,,May-21,36,May-23,118,,,,,,,Oct-21,146,Jun-23,27,,,Mar-20,150,Feb-19,99,,,,,,,Apr-18,150,Nov-17,150,,,Jun-19,126,,,,,,,,,Jun-22,128,Mar-23,150,Jun-14,150,Feb-22,150
,,May-11,150,,,,,,,,,Sep-19,150,,,Oct-14,150,Sep-20,103,Feb-18,150,,,,,Feb-20,51,,,,,Nov-23,150,Dec-19,79,Nov-18,150,Feb-22,150,Apr-23,25,,,Apr-10,150,Jun-22,150,,,Jun-21,41,Jun-23,107,,,,,,,Nov-21,136,Jul-23,14,,,Apr-20,150,Mar-19,71,,,,,,,May-18,150,Dec-17,150,,,Jul-19,144,,,,,,,,,Jul-22,125,Apr-23,150,Jul-14,150,Mar-22,150
,,Jun-11,143,,,,,,,,,Oct-19,150,,,Nov-14,150,Oct-20,107,Mar-18,150,,,,,Mar-20,56,,,,,,,Jan-20,62,Dec-18,147,Mar-22,150,May-23,19,,,May-10,150,Jul-22,150,,,Jul-21,62,Jul-23,130,,,,,,,Dec-21,136,Aug-23,22,,,May-20,150,Apr-19,70,,,,,,,Jun-18,150,Jan-18,150,,,Aug-19,110,,,,,,,,,Aug-22,113,May-23,150,Aug-14,150,Apr-22,150
,,Jul-11,150,,,,,,,,,Nov-19,150,,,Dec-14,150,Nov-20,131,Apr-18,150,,,,,Apr-20,61,,,,,,,Feb-20,63,Jan-19,148,Apr-22,150,Jun-23,23,,,Jun-10,150,Aug-22,150,,,Aug-21,49,Aug-23,130,,,,,,,Jan-22,146,Sep-23,24,,,Jun-20,150,May-19,88,,,,,,,Jul-18,150,Feb-18,150,,,Sep-19,96,,,,,,,,,Sep-22,124,Jun-23,150,Sep-14,150,May-22,150
,,Aug-11,150,,,,,,,,,Dec-19,150,,,Jan-15,150,Dec-20,128,May-18,150,,,,,May-20,102,,,,,,,Mar-20,108,Feb-19,130,May-22,150,Jul-23,22,,,Jul-10,150,Sep-22,150,,,Sep-21,43,Sep-23,100,,,,,,,Feb-22,149,Oct-23,65,,,Jul-20,150,Jun-19,94,,,,,,,Aug-18,150,Mar-18,150,,,Oct-19,90,,,,,,,,,Oct-22,136,Jul-23,150,Oct-14,150,Jun-22,150
,,Sep-11,150,,,,,,,,,Jan-20,150,,,Feb-15,150,Jan-21,150,Jun-18,150,,,,,Jun-20,80,,,,,,,Apr-20,103,Mar-19,141,Jun-22,150,Aug-23,20,,,Aug-10,150,Oct-22,150,,,Oct-21,39,Oct-23,91,,,,,,,Mar-22,150,Nov-23,51,,,Aug-20,150,Jul-19,82,,,,,,,Sep-18,150,Apr-18,150,,,Nov-19,138,,,,,,,,,Nov-22,121,Aug-23,150,Nov-14,150,Jul-22,150
,,Oct-11,150,,,,,,,,,Feb-20,150,,,Mar-15,150,Feb-21,127,Jul-18,150,,,,,Jul-20,80,,,,,,,May-20,76,Apr-19,127,Jul-22,150,Sep-23,16,,,Sep-10,150,Nov-22,150,,,Nov-21,54,Nov-23,85,,,,,,,Apr-22,133,,,,,Sep-20,150,Aug-19,86,,,,,,,Oct-18,150,May-18,150,,,Dec-19,150,,,,,,,,,Dec-22,120,Sep-23,150,Dec-14,150,Aug-22,150
,,Nov-11,150,,,,,,,,,Mar-20,150,,,Apr-15,150,Mar-21,150,Aug-18,150,,,,,Aug-20,76,,,,,,,Jun-20,90,May-19,125,Aug-22,150,Oct-23,22,,,Oct-10,150,Dec-22,150,,,Dec-21,37,,,,,,,,,May-22,129,,,,,Oct-20,150,Sep-19,69,,,,,,,Nov-18,150,Jun-18,150,,,Jan-20,150,,,,,,,,,Jan-23,123,Oct-23,150,Jan-15,150,Sep-22,150
,,Dec-11,150,,,,,,,,,Apr-20,150,,,May-15,150,Apr-21,115,Sep-18,150,,,,,Sep-20,69,,,,,,,Jul-20,97,Jun-19,137,Sep-22,150,Nov-23,10,,,Nov-10,150,Jan-23,150,,,Jan-22,44,,,,,,,,,Jun-22,145,,,,,Nov-20,150,Oct-19,82,,,,,,,Dec-18,150,Jul-18,150,,,Feb-20,145,,,,,,,,,Feb-23,120,Nov-23,150,Feb-15,150,Oct-22,150
,,Jan-12,150,,,,,,,,,May-20,150,,,Jun-15,150,May-21,133,Oct-18,150,,,,,Oct-20,76,,,,,,,Aug-20,122,Jul-19,144,Oct-22,150,,,,,Dec-10,150,Feb-23,150,,,Feb-22,57,,,,,,,,,Jul-22,147,,,,,Dec-20,150,Nov-19,80,,,,,,,Jan-19,150,Aug-18,150,,,Mar-20,150,,,,,,,,,Mar-23,123,,,Mar-15,150,Nov-22,150
,,Feb-12,150,,,,,,,,,Jun-20,150,,,Jul-15,150,Jun-21,112,Nov-18,150,,,,,Nov-20,81,,,,,,,Sep-20,137,Aug-19,131,Nov-22,150,,,,,Jan-11,150,Mar-23,150,,,Mar-22,54,,,,,,,,,Aug-22,141,,,,,Jan-21,150,Dec-19,88,,,,,,,Feb-19,150,Sep-18,141,,,Apr-20,144,,,,,,,,,Apr-23,127,,,Apr-15,150,Dec-22,150
,,Mar-12,150,,,,,,,,,Jul-20,150,,,Aug-15,150,Jul-21,120,Dec-18,150,,,,,Dec-20,80,,,,,,,Oct-20,136,Sep-19,113,Dec-22,150,,,,,Feb-11,150,Apr-23,150,,,Apr-22,64,,,,,,,,,Sep-22,148,,,,,Feb-21,150,Jan-20,75,,,,,,,Mar-19,150,Oct-18,150,,,May-20,150,,,,,,,,,May-23,136,,,May-15,150,Jan-23,150
,,Apr-12,150,,,,,,,,,Aug-20,150,,,Sep-15,150,Aug-21,111,Jan-19,150,,,,,Jan-21,86,,,,,,,Nov-20,116,Oct-19,103,Jan-23,150,,,,,Mar-11,150,May-23,150,,,May-22,48,,,,,,,,,Oct-22,150,,,,,Mar-21,150,Feb-20,83,,,,,,,Apr-19,150,Nov-18,149,,,Jun-20,138,,,,,,,,,Jun-23,141,,,Jun-15,150,Feb-23,150
,,May-12,150,,,,,,,,,Sep-20,150,,,Oct-15,150,Sep-21,117,Feb-19,150,,,,,Feb-21,73,,,,,,,Dec-20,135,Nov-19,150,Feb-23,150,,,,,Apr-11,150,Jun-23,150,,,Jun-22,55,,,,,,,,,Nov-22,150,,,,,Apr-21,150,Mar-20,97,,,,,,,May-19,150,Dec-18,150,,,Jul-20,150,,,,,,,,,Jul-23,124,,,Jul-15,150,Mar-23,150
,,Jun-12,150,,,,,,,,,Oct-20,150,,,Nov-15,150,Oct-21,102,Mar-19,150,,,,,Mar-21,74,,,,,,,Jan-21,147,Dec-19,150,Mar-23,150,,,,,May-11,150,Jul-23,150,,,Jul-22,96,,,,,,,,,Dec-22,150,,,,,May-21,150,Apr-20,92,,,,,,,Jun-19,150,Jan-19,150,,,Aug-20,150,,,,,,,,,Aug-23,129,,,Aug-15,150,Apr-23,150
